"","Province","Health Facility","Period","name","percent","num","den","np"
"66","Nampula","1 de Maio CSURB","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"67","Nampula","1 de Maio CSURB","2025Q3","Positivity < 2 month",0.0152671755725191,2,131,"1.5%
 (2/131)"
"68","Nampula","1 de Maio CSURB","2025Q3","Positivity 2 - 12 month",0.25,2,8,"25%
 (2/8)"
"69","Nampula","1 de Maio CSURB","2025Q3","Positivity 12 - 18 month",1,2,2,"100%
 (2/2)"
"70","Nampula","1 de Maio CSURB","2025Q4","Positivity < 2 month",0.008,1,125,"0.8%
 (1/125)"
"71","Nampula","1 de Maio CSURB","2025Q4","Positivity 2 - 12 month",0.222222222222222,4,18,"22.2%
 (4/18)"
"72","Nampula","1 de Maio CSURB","2025Q4","Positivity 12 - 18 month",0,0,1,"0%
 (0/1)"
"73","Nampula","25 de Setembro CS II","2025Q1","Positivity < 2 month",0.0136986301369863,2,146,"1.4%
 (2/146)"
"74","Nampula","25 de Setembro CS II","2025Q1","Positivity 2 - 12 month",0.272727272727273,3,11,"27.3%
 (3/11)"
"75","Nampula","25 de Setembro CS II","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"76","Nampula","25 de Setembro CS II","2025Q2","Positivity < 2 month",0.05,7,140,"5%
 (7/140)"
"77","Nampula","25 de Setembro CS II","2025Q2","Positivity 2 - 12 month",0.238095238095238,5,21,"23.8%
 (5/21)"
"78","Nampula","25 de Setembro CS II","2025Q2","Positivity 12 - 18 month",0,0,1,"0%
 (0/1)"
"79","Nampula","25 de Setembro CS II","2025Q3","Positivity < 2 month",0,0,173,"0%
 (0/173)"
"80","Nampula","25 de Setembro CS II","2025Q3","Positivity 2 - 12 month",0.12,3,25,"12%
 (3/25)"
"81","Nampula","25 de Setembro CS II","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"82","Nampula","25 de Setembro CS II","2025Q4","Positivity < 2 month",0.0290697674418605,5,172,"2.9%
 (5/172)"
"83","Nampula","25 de Setembro CS II","2025Q4","Positivity 2 - 12 month",0.0714285714285714,1,14,"7.1%
 (1/14)"
"84","Nampula","25 de Setembro CS II","2025Q4","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"85","Nampula","Akumi CS","2025Q1","Positivity < 2 month",0.0363636363636364,2,55,"3.6%
 (2/55)"
"86","Nampula","Akumi CS","2025Q1","Positivity 2 - 12 month",0.25,2,8,"25%
 (2/8)"
"87","Nampula","Akumi CS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"88","Nampula","Akumi CS","2025Q2","Positivity < 2 month",0,0,51,"0%
 (0/51)"
"89","Nampula","Akumi CS","2025Q2","Positivity 2 - 12 month",0.333333333333333,1,3,"33.3%
 (1/3)"
"90","Nampula","Akumi CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"91","Nampula","Akumi CS","2025Q3","Positivity < 2 month",0,0,80,"0%
 (0/80)"
"92","Nampula","Akumi CS","2025Q3","Positivity 2 - 12 month",0,0,2,"0%
 (0/2)"
"93","Nampula","Akumi CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"94","Nampula","Akumi CS","2025Q4","Positivity < 2 month",0.0289855072463768,2,69,"2.9%
 (2/69)"
"95","Nampula","Akumi CS","2025Q4","Positivity 2 - 12 month",0,0,1,"0%
 (0/1)"
"96","Nampula","Akumi CS","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"97","Nampula","Alua CS I","2025Q1","Positivity < 2 month",0,0,97,"0%
 (0/97)"
"98","Nampula","Alua CS I","2025Q1","Positivity 2 - 12 month",0,0,6,"0%
 (0/6)"
"99","Nampula","Alua CS I","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"100","Nampula","Alua CS I","2025Q2","Positivity < 2 month",0,0,21,"0%
 (0/21)"
"101","Nampula","Alua CS I","2025Q2","Positivity 2 - 12 month",0.0645161290322581,2,31,"6.5%
 (2/31)"
"102","Nampula","Alua CS I","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"103","Nampula","Alua CS I","2025Q3","Positivity < 2 month",0,0,67,"0%
 (0/67)"
"104","Nampula","Alua CS I","2025Q3","Positivity 2 - 12 month",0.0615384615384615,4,65,"6.2%
 (4/65)"
"105","Nampula","Alua CS I","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"106","Nampula","Alua CS I","2025Q4","Positivity < 2 month",0.021978021978022,2,91,"2.2%
 (2/91)"
"107","Nampula","Alua CS I","2025Q4","Positivity 2 - 12 month",0.111111111111111,2,18,"11.1%
 (2/18)"
"108","Nampula","Alua CS I","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"109","Nampula","Angoche HR","2025Q1","Positivity < 2 month",0.0444444444444444,2,45,"4.4%
 (2/45)"
"110","Nampula","Angoche HR","2025Q1","Positivity 2 - 12 month",0.428571428571429,6,14,"42.9%
 (6/14)"
"111","Nampula","Angoche HR","2025Q1","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"112","Nampula","Angoche HR","2025Q2","Positivity < 2 month",0,0,45,"0%
 (0/45)"
"113","Nampula","Angoche HR","2025Q2","Positivity 2 - 12 month",0.5,8,16,"50%
 (8/16)"
"114","Nampula","Angoche HR","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"115","Nampula","Angoche HR","2025Q3","Positivity < 2 month",0,0,68,"0%
 (0/68)"
"116","Nampula","Angoche HR","2025Q3","Positivity 2 - 12 month",0.285714285714286,4,14,"28.6%
 (4/14)"
"117","Nampula","Angoche HR","2025Q3","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"118","Nampula","Angoche HR","2025Q4","Positivity < 2 month",0.0441176470588235,3,68,"4.4%
 (3/68)"
"119","Nampula","Angoche HR","2025Q4","Positivity 2 - 12 month",0.2,3,15,"20%
 (3/15)"
"120","Nampula","Angoche HR","2025Q4","Positivity 12 - 18 month",0.166666666666667,1,6,"16.7%
 (1/6)"
"121","Nampula","CS Mogovolas","2025Q1","Positivity < 2 month",0.0172413793103448,1,58,"1.7%
 (1/58)"
"122","Nampula","CS Mogovolas","2025Q1","Positivity 2 - 12 month",0.555555555555556,5,9,"55.6%
 (5/9)"
"123","Nampula","CS Mogovolas","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"124","Nampula","CS Mogovolas","2025Q2","Positivity < 2 month",0.0384615384615385,3,78,"3.8%
 (3/78)"
"125","Nampula","CS Mogovolas","2025Q2","Positivity 2 - 12 month",0,0,25,"0%
 (0/25)"
"126","Nampula","CS Mogovolas","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"127","Nampula","CS Mogovolas","2025Q3","Positivity < 2 month",0.0377358490566038,4,106,"3.8%
 (4/106)"
"128","Nampula","CS Mogovolas","2025Q3","Positivity 2 - 12 month",0.185185185185185,5,27,"18.5%
 (5/27)"
"129","Nampula","CS Mogovolas","2025Q3","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"130","Nampula","CS Mogovolas","2025Q4","Positivity < 2 month",0.0135135135135135,1,74,"1.4%
 (1/74)"
"131","Nampula","CS Mogovolas","2025Q4","Positivity 2 - 12 month",0.32,8,25,"32%
 (8/25)"
"132","Nampula","CS Mogovolas","2025Q4","Positivity 12 - 18 month",0.333333333333333,2,6,"33.3%
 (2/6)"
"133","Nampula","CS Monapo Rio","2025Q1","Positivity < 2 month",0,0,15,"0%
 (0/15)"
"134","Nampula","CS Monapo Rio","2025Q1","Positivity 2 - 12 month",1,2,2,"100%
 (2/2)"
"135","Nampula","CS Monapo Rio","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"136","Nampula","CS Monapo Rio","2025Q2","Positivity < 2 month",0,0,3,"0%
 (0/3)"
"137","Nampula","CS Monapo Rio","2025Q2","Positivity 2 - 12 month",0,0,1,"0%
 (0/1)"
"138","Nampula","CS Monapo Rio","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"139","Nampula","CS Monapo Rio","2025Q3","Positivity < 2 month",0,0,1,"0%
 (0/1)"
"140","Nampula","CS Monapo Rio","2025Q3","Positivity 2 - 12 month",0,0,3,"0%
 (0/3)"
"141","Nampula","CS Monapo Rio","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"142","Nampula","CS Monapo Rio","2025Q4","Positivity < 2 month",0.230769230769231,3,13,"23.1%
 (3/13)"
"143","Nampula","CS Monapo Rio","2025Q4","Positivity 2 - 12 month",0,0,6,"0%
 (0/6)"
"144","Nampula","CS Monapo Rio","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"145","Nampula","CS Murrupula","2025Q1","Positivity < 2 month",0.028169014084507,2,71,"2.8%
 (2/71)"
"146","Nampula","CS Murrupula","2025Q1","Positivity 2 - 12 month",0.111111111111111,1,9,"11.1%
 (1/9)"
"147","Nampula","CS Murrupula","2025Q1","Positivity 12 - 18 month",0,0,1,"0%
 (0/1)"
"148","Nampula","CS Murrupula","2025Q2","Positivity < 2 month",0,0,56,"0%
 (0/56)"
"149","Nampula","CS Murrupula","2025Q2","Positivity 2 - 12 month",0.111111111111111,1,9,"11.1%
 (1/9)"
"150","Nampula","CS Murrupula","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"151","Nampula","CS Murrupula","2025Q3","Positivity < 2 month",0.0357142857142857,2,56,"3.6%
 (2/56)"
"152","Nampula","CS Murrupula","2025Q3","Positivity 2 - 12 month",0.142857142857143,1,7,"14.3%
 (1/7)"
"153","Nampula","CS Murrupula","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"154","Nampula","CS Murrupula","2025Q4","Positivity < 2 month",0.0566037735849057,3,53,"5.7%
 (3/53)"
"155","Nampula","CS Murrupula","2025Q4","Positivity 2 - 12 month",0,0,2,"0%
 (0/2)"
"156","Nampula","CS Murrupula","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"157","Nampula","HD Moma","2025Q1","Positivity < 2 month",0.0204081632653061,2,98,"2%
 (2/98)"
"158","Nampula","HD Moma","2025Q1","Positivity 2 - 12 month",0.166666666666667,3,18,"16.7%
 (3/18)"
"159","Nampula","HD Moma","2025Q1","Positivity 12 - 18 month",0,2,0,"0%
 (2/0)"
"160","Nampula","HD Moma","2025Q2","Positivity < 2 month",0.0166666666666667,2,120,"1.7%
 (2/120)"
"161","Nampula","HD Moma","2025Q2","Positivity 2 - 12 month",0.125,2,16,"12.5%
 (2/16)"
"162","Nampula","HD Moma","2025Q2","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"163","Nampula","HD Moma","2025Q3","Positivity < 2 month",0.0256410256410256,3,117,"2.6%
 (3/117)"
"164","Nampula","HD Moma","2025Q3","Positivity 2 - 12 month",0.142857142857143,4,28,"14.3%
 (4/28)"
"165","Nampula","HD Moma","2025Q3","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"166","Nampula","HD Moma","2025Q4","Positivity < 2 month",0.0112359550561798,1,89,"1.1%
 (1/89)"
"167","Nampula","HD Moma","2025Q4","Positivity 2 - 12 month",0.0714285714285714,1,14,"7.1%
 (1/14)"
"168","Nampula","HD Moma","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"169","Nampula","HG Marrere","2025Q1","Positivity < 2 month",0.0166666666666667,1,60,"1.7%
 (1/60)"
"170","Nampula","HG Marrere","2025Q1","Positivity 2 - 12 month",0.428571428571429,3,7,"42.9%
 (3/7)"
"171","Nampula","HG Marrere","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"172","Nampula","HG Marrere","2025Q2","Positivity < 2 month",0.0151515151515152,1,66,"1.5%
 (1/66)"
"173","Nampula","HG Marrere","2025Q2","Positivity 2 - 12 month",0.5,3,6,"50%
 (3/6)"
"174","Nampula","HG Marrere","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"175","Nampula","HG Marrere","2025Q3","Positivity < 2 month",0,0,56,"0%
 (0/56)"
"176","Nampula","HG Marrere","2025Q3","Positivity 2 - 12 month",0.222222222222222,2,9,"22.2%
 (2/9)"
"177","Nampula","HG Marrere","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"178","Nampula","HG Marrere","2025Q4","Positivity < 2 month",0.0138888888888889,1,72,"1.4%
 (1/72)"
"179","Nampula","HG Marrere","2025Q4","Positivity 2 - 12 month",0.142857142857143,1,7,"14.3%
 (1/7)"
"180","Nampula","HG Marrere","2025Q4","Positivity 12 - 18 month",0,0,1,"0%
 (0/1)"
"181","Nampula","Hospital Psiquiatrico","2025Q1","Positivity < 2 month",0.0392156862745098,4,102,"3.9%
 (4/102)"
"182","Nampula","Hospital Psiquiatrico","2025Q1","Positivity 2 - 12 month",0.125,1,8,"12.5%
 (1/8)"
"183","Nampula","Hospital Psiquiatrico","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"184","Nampula","Hospital Psiquiatrico","2025Q2","Positivity < 2 month",0.02,2,100,"2%
 (2/100)"
"185","Nampula","Hospital Psiquiatrico","2025Q2","Positivity 2 - 12 month",0.1,1,10,"10%
 (1/10)"
"186","Nampula","Hospital Psiquiatrico","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"187","Nampula","Hospital Psiquiatrico","2025Q3","Positivity < 2 month",0.0238095238095238,3,126,"2.4%
 (3/126)"
"188","Nampula","Hospital Psiquiatrico","2025Q3","Positivity 2 - 12 month",0.0833333333333333,1,12,"8.3%
 (1/12)"
"189","Nampula","Hospital Psiquiatrico","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"190","Nampula","Hospital Psiquiatrico","2025Q4","Positivity < 2 month",0.00952380952380952,1,105,"1%
 (1/105)"
"191","Nampula","Hospital Psiquiatrico","2025Q4","Positivity 2 - 12 month",0.214285714285714,3,14,"21.4%
 (3/14)"
"192","Nampula","Hospital Psiquiatrico","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"193","Nampula","Muhala PS","2025Q1","Positivity < 2 month",0.0125,2,160,"1.2%
 (2/160)"
"194","Nampula","Muhala PS","2025Q1","Positivity 2 - 12 month",0.0833333333333333,1,12,"8.3%
 (1/12)"
"195","Nampula","Muhala PS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"196","Nampula","Muhala PS","2025Q2","Positivity < 2 month",0.0198675496688742,3,151,"2%
 (3/151)"
"197","Nampula","Muhala PS","2025Q2","Positivity 2 - 12 month",0.4,4,10,"40%
 (4/10)"
"198","Nampula","Muhala PS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"199","Nampula","Muhala PS","2025Q3","Positivity < 2 month",0.00645161290322581,1,155,"0.6%
 (1/155)"
"200","Nampula","Muhala PS","2025Q3","Positivity 2 - 12 month",0.0689655172413793,2,29,"6.9%
 (2/29)"
"201","Nampula","Muhala PS","2025Q3","Positivity 12 - 18 month",1,2,2,"100%
 (2/2)"
"202","Nampula","Muhala PS","2025Q4","Positivity < 2 month",0.0335570469798658,5,149,"3.4%
 (5/149)"
"203","Nampula","Muhala PS","2025Q4","Positivity 2 - 12 month",0.454545454545455,5,11,"45.5%
 (5/11)"
"204","Nampula","Muhala PS","2025Q4","Positivity 12 - 18 month",3,3,1,"300%
 (3/1)"
"205","Nampula","Nacala Porto CS","2025Q1","Positivity < 2 month",0.0112359550561798,1,89,"1.1%
 (1/89)"
"206","Nampula","Nacala Porto CS","2025Q1","Positivity 2 - 12 month",0.0666666666666667,1,15,"6.7%
 (1/15)"
"207","Nampula","Nacala Porto CS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"208","Nampula","Nacala Porto CS","2025Q2","Positivity < 2 month",0,0,89,"0%
 (0/89)"
"209","Nampula","Nacala Porto CS","2025Q2","Positivity 2 - 12 month",0.0666666666666667,1,15,"6.7%
 (1/15)"
"210","Nampula","Nacala Porto CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"211","Nampula","Nacala Porto CS","2025Q3","Positivity < 2 month",0.0294117647058824,3,102,"2.9%
 (3/102)"
"212","Nampula","Nacala Porto CS","2025Q3","Positivity 2 - 12 month",0.2,3,15,"20%
 (3/15)"
"213","Nampula","Nacala Porto CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"214","Nampula","Nacala Porto CS","2025Q4","Positivity < 2 month",0.0412371134020619,4,97,"4.1%
 (4/97)"
"215","Nampula","Nacala Porto CS","2025Q4","Positivity 2 - 12 month",0.5,4,8,"50%
 (4/8)"
"216","Nampula","Nacala Porto CS","2025Q4","Positivity 12 - 18 month",1,1,1,"100%
 (1/1)"
"217","Nampula","Namapa HR","2025Q1","Positivity < 2 month",0,0,119,"0%
 (0/119)"
"218","Nampula","Namapa HR","2025Q1","Positivity 2 - 12 month",0.4,2,5,"40%
 (2/5)"
"219","Nampula","Namapa HR","2025Q1","Positivity 12 - 18 month",0,1,0,"0%
 (1/0)"
"220","Nampula","Namapa HR","2025Q2","Positivity < 2 month",0,0,23,"0%
 (0/23)"
"221","Nampula","Namapa HR","2025Q2","Positivity 2 - 12 month",0,0,20,"0%
 (0/20)"
"222","Nampula","Namapa HR","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"223","Nampula","Namapa HR","2025Q3","Positivity < 2 month",0,0,63,"0%
 (0/63)"
"224","Nampula","Namapa HR","2025Q3","Positivity 2 - 12 month",0,0,58,"0%
 (0/58)"
"225","Nampula","Namapa HR","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"226","Nampula","Namapa HR","2025Q4","Positivity < 2 month",0.0108695652173913,1,92,"1.1%
 (1/92)"
"227","Nampula","Namapa HR","2025Q4","Positivity 2 - 12 month",0.208333333333333,5,24,"20.8%
 (5/24)"
