"Province","Health Facility","Period","1st ANC visit","Clients elegible for HIV test at 1st ANC","1st ANC clients tested for HIV","Total HIV+ clients at ANC","Known HIV+ at entry","New HIV-positive clients","Initiated on ART","% of pregnant women tested for HIV (Facility)","Positivity at ANC","PMTCT ART Coverage","PMTCT_STAT_POS_ALL","Exposed children","New children exposed to HIV at CCR <2","New children exposed to HIV at CCR 2 - 12","New children exposed to HIV at CCR 12 - 18","1st PCR collected","1st PCR collected (<2 Months)","1st PCR collected (2-12 Months)","1st PCR collected (12-18 Months)","New HIV+ infants","New HIV+ infants < 2 month","New HIV+ infants 2 - 12 month","New HIV+ infants (0-12 Months)","New HIV+ infants (12-18 Months)","New HIV+ infants initiated ART","New HIV+ infants initiated ART < 2 month","New HIV+ infants initiated ART 2 - 12 month","New HIV+ infants initiated ART 12 - 18 month","coverage PMTCT_EID","PCR Coverage","coverage PMTCT_EID <2 months","coverage PMTCT_EID 2-12 months","coverage PMTCT_EID 12-18 months","Positivity","Positivity < 2 month","MFR v2 | Number of children tested HIV positive | PCR < 2 month","MFR v2 | Infants tested for HIV | PCR < 2 month","Positivity 2 - 12 month","MFR v2 | Number of children tested HIV positive | PCR 2 - 12 month","MFR v2 | Infants tested for HIV | PCR 2 - 12 month","Positivity 12 - 18 month","FSS v2 | New HIV positive children (PCR test) | Moz 12 - 18","FSS v2 | 1st PCR performed | Moz 12 - 18","PMTCT_HEI_POS_ART Coverage","PMTCT_HEI_POS_ART Coverage < 2 month","PMTCT_HEI_POS_ART Coverage 2 - 12 month","PMTCT_HEI_POS_ART Coverage 12 - 18 month","New HIV+ women at ANC","New HIV+ women started ART at CRC","Number of women who collected VL test at ANC","Number of women who collected VL test at CRC","Number of women with VL result at ANC","Number of women with VL result at CRC","Number of women with suppressed VL at ANC","Number of women with suppressed VL at CRC","Number of new children enrolled in ART","Number of children being followed up on ART","Number of children who took VL test","Number of children with VL result","Number of children with suppressed VL","Numerador_FSS_ANC","Denominador_MFR_ANC","Linkage at ANC","Numerador_FSS_CCR","Denominador_MFR_CCR","Linkage at CCR","% of women with VL result at ANC","% of women with VL result at CRC","% of women with suppressed VL at ANC","% of women with suppressed VL at CRC","% of children with VL result","% of children with suppressed VL"
"Nampula","Muhala PS","2025Q4",2631,2499,2499,173,132,41,41,1,0.01640656262505,1,46,158,148,9,1,161,149,11,1,13,5,5,10,3,13,5,5,3,3.5,1.01898734177215,3.23913043478261,0.239130434782609,0.0217391304347826,0.0807453416149068,0.0335570469798658,5,149,0.454545454545455,5,11,3,3,1,1,1,1,1,173,0,25,245,119,368,116,365,24,1047,56,53,49,173,173,1,0,5,0,4.76,1.50204081632653,0.974789915966387,0.991847826086957,0.946428571428571,0.924528301886792
"Nampula","Nacala Porto CS","2025Q1",1236,1163,1163,104,73,31,31,1,0.0266552020636285,1,35,104,89,15,0,104,89,15,0,2,1,1,2,0,1,0,1,0,2.97142857142857,1,2.54285714285714,0.428571428571429,0,0.0192307692307692,0.0112359550561798,1,89,0.0666666666666667,1,15,0,0,0,0.5,0,1,0,104,4,61,146,73,109,66,105,9,596,54,35,25,104,104,1,4,4,1,1.19672131147541,0.746575342465753,0.904109589041096,0.963302752293578,0.648148148148148,0.714285714285714
"Nampula","Nacala Porto CS","2025Q2",1421,1327,1327,138,94,44,44,1,0.0331574981160512,1,45,88,78,10,0,104,89,15,0,1,0,1,1,0,1,0,1,0,2.31111111111111,1.18181818181818,1.97777777777778,0.333333333333333,0,0.00961538461538462,0,0,89,0.0666666666666667,1,15,0,0,0,1,0,1,0,117,1,80,132,47,123,42,122,8,576,26,43,38,117,138,0.847826086956522,1,0,0,0.5875,0.931818181818182,0.893617021276596,0.991869918699187,1.65384615384615,0.883720930232558
"Nampula","Nacala Porto CS","2025Q3",1343,1269,1269,105,74,31,31,1,0.0244286840031521,1,41,117,102,15,0,117,102,15,0,6,3,3,6,0,5,2,3,0,2.85365853658537,1,2.48780487804878,0.365853658536585,0,0.0512820512820513,0.0294117647058824,3,102,0.2,3,15,0,0,0,0.833333333333333,0.666666666666667,1,0,105,8,52,242,62,204,57,199,15,576,41,29,20,105,105,1,8,9,0.888888888888889,1.19230769230769,0.84297520661157,0.919354838709677,0.975490196078431,0.707317073170732,0.689655172413793
"Nampula","Nacala Porto CS","2025Q4",1026,946,946,111,80,31,31,1,0.03276955602537,1,37,103,96,6,1,106,97,8,1,9,4,4,8,1,8,3,4,1,2.86486486486486,1.02912621359223,2.62162162162162,0.216216216216216,0.027027027027027,0.0849056603773585,0.0412371134020619,4,97,0.5,4,8,1,1,1,0.888888888888889,0.75,1,1,112,4,76,157,89,138,77,137,22,565,27,34,24,112,111,1.00900900900901,4,6,0.666666666666667,1.17105263157895,0.878980891719745,0.865168539325843,0.992753623188406,1.25925925925926,0.705882352941177
"Nampula","Namapa HR","2025Q1",1413,1324,1324,105,89,16,16,1,0.0120845921450151,1,17,122,119,3,0,124,119,5,0,3,0,2,2,1,3,0,2,1,7.29411764705882,1.01639344262295,7,0.294117647058824,0,0.0241935483870968,0,0,119,0.4,2,5,0,1,0,1,0,1,1,105,0,7,82,43,99,38,97,7,297,28,29,22,105,105,1,0,1,0,6.14285714285714,1.20731707317073,0.883720930232558,0.97979797979798,1.03571428571429,0.758620689655172
"Nampula","Namapa HR","2025Q2",896,862,862,38,34,4,4,1,0.00464037122969838,1,5,43,23,20,0,43,23,20,0,0,0,0,0,0,0,0,0,0,8.6,1,4.6,4,0,0,0,0,23,0,0,20,0,0,0,0,0,0,0,38,0,0,0,0,5,0,5,0,48,0,0,0,38,38,1,0,1,0,0,0,0,1,0,0
"Nampula","Namapa HR","2025Q3",2626,2528,2528,115,98,17,17,1,0.0067246835443038,1,21,121,63,58,0,121,63,58,0,0,0,0,0,0,0,0,0,0,5.76190476190476,1,3,2.76190476190476,0,0,0,0,63,0,0,58,0,0,0,0,0,0,0,115,4,30,97,3,15,2,15,9,221,77,13,9,115,115,1,4,4,1,0.1,0.154639175257732,0.666666666666667,1,0.168831168831169,0.692307692307692
"Nampula","Namapa HR","2025Q4",1999,1894,1894,112,105,7,7,1,0.00369588173178458,1,14,116,92,24,0,116,92,24,0,6,1,5,6,0,6,1,5,0,8.28571428571429,1,6.57142857142857,1.71428571428571,0,0.0517241379310345,0.0108695652173913,1,92,0.208333333333333,5,24,0,0,0,1,1,1,0,112,7,40,69,65,135,56,120,15,298,20,72,58,112,112,1,7,7,1,1.625,1.95652173913043,0.861538461538462,0.888888888888889,3.6,0.805555555555556
"Nampula","Namialo CS","2025Q1",1525,1443,1443,114,82,32,32,1,0.0221760221760222,1,39,97,83,13,1,98,83,14,1,7,4,3,7,0,7,4,3,0,2.51282051282051,1.01030927835052,2.12820512820513,0.358974358974359,0.0256410256410256,0.0714285714285714,0.0481927710843374,4,83,0.214285714285714,3,14,0,0,1,1,1,1,0,114,5,94,180,87,161,82,146,17,649,56,37,32,114,114,1,5,7,0.714285714285714,0.925531914893617,0.894444444444444,0.942528735632184,0.906832298136646,0.660714285714286,0.864864864864865
