Province,Health Facility,Period,Pregnant women retention,Breatfeeding women retention,Children retention,Pregnant women VL test,Pregnant women VL result,Breastfeeding women VL test,Breastfeeding women VL result,Children VL test,Children VL result
Nampula,25 de Setembro CS II,2025Q2,0.9246987951807228,0.9416342412451362,0.9682080924855492,0.8461538461538461,0.8974358974358975,0.852803738317757,0.9920634920634921,0.8205128205128205,0.9487179487179487
Nampula,25 de Setembro CS II,2025Q3,0.958994708994709,0.9722340879965826,0.9578947368421052,0.9420289855072463,0.9927536231884058,0.9761336515513126,0.9878934624697336,1,1
Nampula,25 de Setembro CS II,2025Q4,0.9739583333333334,0.979982593559617,0.9464882943143813,1,0.9763779527559056,0.9973262032085561,0.9875776397515528,0.98,0.9636363636363636
Nampula,Akumi CS,2025Q1,1,1,1,1,1,1,1,1,1
Nampula,Akumi CS,2025Q2,0.9135446685878963,0.9408284023668639,0.9723502304147466,0.9090909090909091,0.9180327868852459,0.9294117647058824,0.9294117647058824,1,1
Nampula,Akumi CS,2025Q3,0.9922480620155039,0.968789013732834,1,1,1,0.984,0.9736842105263158,1,1
Nampula,Akumi CS,2025Q4,0.9746376811594203,0.986130374479889,1,0.9285714285714286,1,1,0.9411764705882353,1,1
Nampula,Alua CS I,2025Q1,0.9882903981264637,0.9904397705544933,0.9702970297029703,1.048780487804878,1,1,1,1,0.8695652173913043
Nampula,Alua CS I,2025Q2,0.9615384615384616,0.9895287958115183,0.7692307692307693,1,1,0.95,0.42105263157894735,1,1
Nampula,Alua CS I,2025Q3,0.9085545722713865,0.9258662369057212,0.9226190476190477,0.9454545454545454,0.803921568627451,1,0.2,1,0.8181818181818182
Nampula,Alua CS I,2025Q4,0.9591836734693877,0.9819004524886877,0.9738219895287958,0,0.2692307692307692,1,0.6375,1,0.5862068965517241
Nampula,Angoche HR,2025Q1,0.9424460431654677,0.9164759725400458,0.9528301886792453,1,0.9777777777777777,0.898989898989899,0.8225806451612904,0.875,0.9772727272727273
Nampula,Angoche HR,2025Q2,0.916923076923077,0.9002493765586035,0.898936170212766,0.8181818181818182,0.8852459016393442,0.9702970297029703,0.8405797101449275,0.8214285714285714,0.5806451612903226
Nampula,Angoche HR,2025Q3,0.902127659574468,0.9231738035264484,0.9323671497584541,0.9333333333333333,0.7857142857142857,0.8737864077669902,0.5,0.9807692307692307,0.85
Nampula,Angoche HR,2025Q4,0.9363957597173145,0.9181286549707602,0.9208333333333333,0.8125,0.9387755102040817,0.9252336448598131,0.7720588235294118,1,0.8604651162790697
Nampula,CS Mogovolas,2025Q1,0.9545454545454546,0.9556650246305419,0.9387755102040817,1,0.8260869565217391,1,0.9736842105263158,1,1
Nampula,CS Mogovolas,2025Q2,0.8043478260869565,0.8272058823529411,0.85,1,1,1,0,1,1
Nampula,CS Mogovolas,2025Q3,0.8442367601246106,0.9143865842894969,0.909433962264151,0.8461538461538461,0.803921568627451,0.9627329192546584,0.8663366336633663,0.9545454545454546,0.8823529411764706
